COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Brunei Darussalam,BRN,WPRO,REPORTING,09/09/2022,1273212,449769,291.034,102.809,444757,101.664,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",03/04/2021,5,335738,76.744
Bulgaria,BGR,EURO,REPORTING,18/09/2022,4537223,2101905,65.3,30.237,2072927,29.82,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",30/12/2020,4,806040,11.595
Burkina Faso,BFA,AFRO,REPORTING,28/08/2022,3740943,3074643,17.896,14.709,2133394,10.206,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",02/06/2021,3,,
Burundi,BDI,AFRO,REPORTING,18/09/2022,21467,19568,0.181,0.165,18972,0.16,Beijing CNBG - BBIBP-CorV,18/10/2021,1,,
Cabo Verde,CPV,AFRO,REPORTING,18/09/2022,857874,356544,154.297,64.128,308551,55.496,"Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",18/03/2021,4,,
Cambodia,KHM,WPRO,REPORTING,16/09/2022,43822585,15186867,262.113,90.836,14535925,86.943,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",10/02/2021,7,10131597,60.599
Cameroon,CMR,AFRO,REPORTING,11/09/2022,1893318,1607691,7.132,6.056,1256706,4.734,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",12/04/2021,4,,
Canada,CAN,AMRO,REPORTING,16/09/2022,88148937,32787406,233.556,86.872,31432603,83.282,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",14/12/2020,5,19182301,50.825
Cayman Islands,CYM,AMRO,REPORTING,16/09/2022,148160,61663,225.441,93.827,60145,91.517,Pfizer BioNTech - Comirnaty,15/01/2021,1,23910,36.382
Central African Republic,CAF,AFRO,REPORTING,18/09/2022,1707255,1660574,35.349,34.382,1570081,32.508,"Bharat - Covaxin,SII - Covishield",19/03/2021,2,,
Chad,TCD,AFRO,REPORTING,28/08/2022,3876928,3739193,23.603,22.764,3611617,21.987,Beijing CNBG - BBIBP-CorV,04/06/2021,1,,
Chile,CHL,AMRO,REPORTING,16/09/2022,62229394,18065602,325.532,94.504,17672392,92.447,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",21/12/2020,5,15623225,81.728
China,CHN,WPRO,REPORTING,13/09/2022,3455225743,1307449048,234.844,88.864,1277232041,86.811,"Anhui ZL - Zifivax,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,IMB - Covidful,Pfizer BioNTech - Comirnaty,Shenzhen - LV-SMENP-DC,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",22/07/2020,8,776220753,52.758
Colombia,COL,AMRO,REPORTING,16/09/2022,87566541,42633866,172.094,83.788,36479814,71.694,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",17/02/2021,5,13662929,26.852
Comoros,COM,AFRO,REPORTING,31/07/2022,804403,423255,92.503,48.672,382032,43.932,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield",10/04/2021,3,,
Congo,COG,AFRO,REPORTING,31/07/2022,833210,695760,15.1,12.609,654119,11.854,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,SII - Covishield",23/03/2021,4,,
Cook Islands,COK,WPRO,REPORTING,10/05/2022,39612,15020,225.529,85.516,14676,83.557,Pfizer BioNTech - Comirnaty,17/05/2021,1,9916,56.456
Costa Rica,CRI,AMRO,REPORTING,16/09/2022,11913344,4471009,233.865,87.768,4203167,82.51,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",24/12/2020,3,2549028,50.039
Côte d’Ivoire,CIV,AFRO,REPORTING,18/09/2022,18547812,10721755,70.315,40.646,8817755,33.428,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",01/03/2021,5,,
Croatia,HRV,EURO,REPORTING,18/09/2022,5293366,2316460,130.4,57.115,2243262,55.278,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",23/12/2020,6,920569,22.684
Cuba,CUB,AMRO,REPORTING,16/09/2022,37691939,10701830,332.773,94.484,9990274,88.202,"CIGB - CIGB-66,Finlay - Soberana Plus,Finlay - Soberana-02",,3,8429760,74.424
Curaçao,CUW,AMRO,REPORTING,16/09/2022,255346,108478,155.611,66.108,99831,60.838,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",24/02/2021,3,47037,28.665
Cyprus,CYP,EURO,REPORTING,18/09/2022,1818605,667024,204.8,75.115,655573,73.825,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",23/12/2020,5,484683,54.581
Czechia,CZE,EURO,REPORTING,18/09/2022,17977765,6966172,168.1,65.141,6880723,64.342,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",23/12/2020,5,4309156,40.295
Democratic Republic of the Congo,COD,AFRO,REPORTING,18/09/2022,5286630,4884351,5.903,5.454,3072010,3.43,SII - Covishield,19/04/2021,1,,
Denmark,DNK,EURO,REPORTING,04/09/2022,13198790,4816219,226.7,82.714,4778611,82.068,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Unknown Vaccine",16/12/2020,5,3650426,62.692
Djibouti,DJI,EMRO,REPORTING,27/09/2022,260427,239808,26.359,24.272,219441,22.211,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",15/03/2021,11,,
Dominica,DMA,AMRO,REPORTING,16/09/2022,67431,32872,93.666,45.661,30566,42.458,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",12/02/2021,5,3993,5.547
Dominican Republic,DOM,AMRO,REPORTING,16/09/2022,15774482,7277678,145.415,67.088,6040747,55.686,"AstraZeneca - Vaxzevria,SII - Covishield,Sinovac - CoronaVac",16/02/2021,3,2456057,22.641
Ecuador,ECU,AMRO,REPORTING,16/09/2022,37723769,15258768,213.817,86.486,14119814,80.03,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",20/01/2021,4,7092179,40.198
Egypt,EGY,EMRO,REPORTING,25/09/2022,98424374,52817695,96.179,51.613,39474487,38.574,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",24/01/2021,10,8665916,8.468
El Salvador,SLV,AMRO,REPORTING,16/09/2022,11090515,4612795,170.986,71.117,4316275,66.545,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",17/02/2021,6,1781722,27.469
Equatorial Guinea,GNQ,AFRO,REPORTING,24/07/2022,488738,270109,34.836,19.252,214032,15.255,"Beijing CNBG - BBIBP-CorV,Sinovac - CoronaVac",12/02/2021,2,,
Eritrea,ERI,AFRO,REPORTING,03/07/2022,,0,,0,0,0,,,,,
Estonia,EST,EURO,REPORTING,18/09/2022,2129710,843782,160.3,63.491,834409,62.786,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",23/12/2020,5,478650,36.016
Eswatini,SWZ,AFRO,REPORTING,11/09/2022,773579,492162,66.678,42.422,490673,42.293,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",19/03/2021,3,,
Ethiopia,ETH,AFRO,REPORTING,31/07/2022,52509414,43111242,45.675,37.5,36707357,31.93,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Janssen - Ad26.COV 2-S,SII - Covishield",13/03/2021,4,,
Falkland Islands (Malvinas),FLK,AMRO,REPORTING,21/06/2022,9390,3220,269.595,92.449,2976,85.444,AstraZeneca - AZD1222,,1,2543,73.012
Faroe Islands,FRO,EURO,OWID,18/02/2022,103894,41715,212.614,85.368,40895,83.69,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,2,21284,43.557
