Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Oman,Eastern Mediterranean,398424,7802.099,431,8.44,0,4628,90.627,0,0,0
North Macedonia,Europe,342880,16457.871,411,19.728,0,9534,457.622,8,0.384,0
Kenya,Africa,338424,629.377,45,0.084,4,5678,10.56,3,0.006,0
Zambia,Africa,333503,1814.098,116,0.631,0,4017,21.851,0,0,0
Albania,Europe,331027,11502.78,312,10.842,44,3589,124.713,0,0,0
Botswana,Africa,326288,13874.99,0,0,0,2781,118.259,0,0,0
Luxembourg,Europe,291758,46598.67,1927,307.774,378,1129,180.32,2,0.319,0
Montenegro,Europe,280014,44583.815,1026,163.36,175,2781,442.791,1,0.159,0
Kosovo[1],Europe,272015,15148.418,33,1.838,6,3189,177.594,0,0,0
Algeria,Africa,270668,617.244,37,0.084,0,6879,15.687,0,0,0
Nigeria,Africa,265382,128.739,292,0.142,0,3155,1.531,0,0,0
Mauritius,Africa,262648,20652.194,231,18.164,0,1026,80.675,0,0,0
Zimbabwe,Africa,257342,1731.436,53,0.357,0,5599,37.671,0,0,0
Uzbekistan,Europe,244218,729.68,98,0.293,19,1637,4.891,0,0,0
Mozambique,Africa,230312,736.87,93,0.298,0,2222,7.109,0,0,0
Brunei Darussalam,Western Pacific,227756,52061.013,0,0,0,132,30.173,1,0.229,0
Martinique,Americas,220192,58676.402,663,176.675,0,1042,277.67,6,1.599,0
Lao People's Democratic Republic,Western Pacific,215821,2966.383,206,2.831,0,757,10.405,0,0,0
Kyrgyzstan,Europe,206083,3158.752,85,1.303,0,2991,45.845,0,0,0
Iceland,Europe,205637,56472.892,134,36.8,0,213,58.495,0,0,0
El Salvador,Americas,201785,3110.987,0,0,0,4229,65.2,0,0,0
Afghanistan,Eastern Mediterranean,198876,510.877,853,2.191,0,7799,20.034,3,0.008,0
Guadeloupe,Americas,192801,48185.313,804,200.938,0,989,247.173,3,0.75,0
Maldives,South-East Asia,185042,34232.551,38,7.03,0,308,56.98,0,0,0
Trinidad and Tobago,Americas,183181,13089.144,584,41.73,0,4207,300.61,12,0.857,0
Ghana,Africa,169100,544.203,0,0,0,1459,4.695,0,0,0
Uganda,Africa,169051,369.583,0,0,0,3630,7.936,0,0,0
Namibia,Africa,166766,6563.252,0,0,0,4080,160.573,0,0,0
Jamaica,Americas,151791,5126.053,386,13.035,0,3314,111.915,15,0.507,0
Cambodia,Western Pacific,137861,824.579,37,0.221,0,3056,18.279,0,0,0
Rwanda,Africa,132488,1022.898,0,0,0,1466,11.319,0,0,0
Cameroon,Africa,121652,458.271,0,0,0,1935,7.289,0,0,0
Malta,Europe,114652,22281.388,118,22.932,0,806,156.637,2,0.389,0
Angola,Africa,103131,313.79,0,0,0,1917,5.833,0,0,0
Barbados,Americas,102516,35673.249,150,52.197,28,559,194.519,0,0,0
French Guiana,Americas,93974,31462.894,49,16.405,0,410,137.27,0,0,0
Democratic Republic of the Congo,Africa,92892,103.719,13,0.015,0,1443,1.611,1,0.001,0
Senegal,Africa,88398,527.941,74,0.442,10,1968,11.754,0,0,0
Malawi,Africa,88005,460.038,8,0.042,0,2680,14.009,0,0,0
Côte d’Ivoire,Africa,87208,330.605,114,0.432,49,826,3.131,3,0.011,2
Suriname,Americas,81106,13825.703,7,1.193,0,1385,236.093,0,0,0
French Polynesia,Western Pacific,76599,27268.358,11,3.916,0,649,231.036,0,0,0
New Caledonia,Western Pacific,74288,26020.498,31,10.858,0,314,109.983,0,0,0
Eswatini,Africa,73390,6325.83,11,0.948,0,1422,122.569,0,0,0
Guyana,Americas,71331,9068.822,44,5.594,9,1281,162.863,0,0,0
Belize,Americas,68826,17309.143,83,20.874,0,683,171.769,0,0,0
Fiji,Western Pacific,68234,7611.621,0,0,0,878,97.942,0,0,0
Madagascar,Africa,66676,240.786,16,0.058,0,1410,5.092,0,0,0
Sudan,Eastern Mediterranean,63280,144.313,0,0,0,4961,11.314,0,0,0
Mauritania,Africa,62802,1350.68,15,0.323,0,994,21.378,0,0,0
Cabo Verde,Africa,62371,11218.068,13,2.338,0,410,73.743,0,0,0
Bhutan,South-East Asia,61969,8031.151,23,2.981,0,21,2.722,0,0,0
Jersey,Europe,59874,55543.805,0,0,0,138,128.02,0,0,0
Syrian Arab Republic,Eastern Mediterranean,57288,327.348,27,0.154,0,3163,18.074,0,0,0
Burundi,Africa,50193,422.117,85,0.715,0,15,0.126,0,0,0
Guam,Western Pacific,48842,28939.12,0,0,0,401,237.594,0,0,0
Gabon,Africa,48691,2187.638,0,0,0,306,13.748,0,0,0
Seychelles,Africa,47141,47933.338,783,796.161,0,169,171.841,0,0,0
Andorra,Europe,46227,59829.159,80,103.54,0,155,200.608,0,0,0
Curaçao,Americas,45368,27647.736,11,6.704,0,287,174.901,0,0,0
Papua New Guinea,Western Pacific,44997,502.927,38,0.425,0,668,7.466,4,0.045,0
Aruba,Americas,42970,40246.895,0,0,0,230,215.424,2,1.873,0
Mayotte,Africa,40261,14757.62,18,6.598,18,187,68.545,0,0,0
United Republic of Tanzania,Africa,39440,66.026,99,0.166,0,845,1.415,0,0,0
Togo,Africa,39053,471.727,152,1.836,19,285,3.443,1,0.012,0
Isle of Man,Europe,38008,44698.466,0,0,0,116,136.419,0,0,0
Guinea,Africa,37652,286.702,0,0,0,449,3.419,0,0,0
Bahamas,Americas,37276,9479.102,42,10.68,0,833,211.828,0,0,0
Faroe Islands,Europe,34658,70926.021,0,0,0,28,57.301,0,0,0
Lesotho,Africa,34490,1609.99,0,0,0,706,32.956,0,0,0
Haiti,Americas,33702,295.566,0,0,0,857,7.516,0,0,0
Mali,Africa,32635,161.154,43,0.212,13,742,3.664,2,0.01,1
Guernsey,Europe,31309,48565.18,210,325.743,0,63,97.723,1,1.551,0
Cayman Islands,Americas,30661,46653.987,116,176.506,0,32,48.691,1,1.522,0
Saint Lucia,Americas,29408,16015.074,449,244.517,0,393,214.021,0,0,0
Benin,Africa,27638,227.976,0,0,0,163,1.345,0,0,0
Somalia,Eastern Mediterranean,27207,171.186,0,0,0,1361,8.563,0,0,0
Congo,Africa,24775,448.978,0,0,0,386,6.995,0,0,0
Timor-Leste,South-East Asia,23257,1763.972,9,0.683,4,138,10.467,0,0,0
United States Virgin Islands,Americas,23154,22172.851,71,67.991,6,123,117.788,0,0,0
Burkina Faso,Africa,21631,103.481,0,0,0,387,1.851,0,0,0
Solomon Islands,Western Pacific,21544,3136.483,0,0,0,153,22.275,0,0,0
San Marino,Europe,20763,61179.209,115,338.853,0,118,347.693,0,0,0
Gibraltar,Europe,20092,59636.105,23,68.267,0,108,320.56,0,0,0
Liechtenstein,Europe,19644,50698.119,106,273.57,0,85,219.372,0,0,0
Grenada,Americas,19536,17361.784,20,17.774,0,237,210.624,1,0.889,0
Bermuda,Americas,18154,29152.281,32,51.387,32,148,237.663,0,0,0
Tajikistan,Europe,17786,186.482,0,0,0,125,1.311,0,0,0
South Sudan,Africa,17780,158.839,0,0,0,138,1.233,0,0,0
Equatorial Guinea,Africa,16915,1205.644,2,0.143,0,183,13.044,0,0,0
Tonga,Western Pacific,16182,15310.09,0,0,0,12,11.353,0,0,0
Samoa,Western Pacific,15925,8026.147,0,0,0,29,14.616,0,0,0
Dominica,Americas,15747,21873.568,895,1243.211,0,74,102.791,6,8.334,0
Djibouti,Eastern Mediterranean,15690,1588.057,0,0,0,189,19.13,0,0,0
Marshall Islands,Western Pacific,15305,25855.661,81,136.838,0,17,28.719,0,0,0
Nicaragua,Americas,15070,227.487,25,0.377,0,245,3.698,0,0,0
Central African Republic,Africa,14912,308.752,0,0,0,113,2.34,0,0,0
Monaco,Europe,14622,37259.199,81,206.401,14,63,160.534,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,13171,22883.403,5,8.687,0,40,69.496,0,0,0
Gambia,Africa,12442,514.841,27,1.117,0,372,15.393,0,0,0
Saint Martin,Americas,11978,30983.73,37,95.709,0,46,118.989,0,0,0
Greenland,Europe,11971,21086.099,0,0,0,21,36.99,0,0,0
Vanuatu,Western Pacific,11950,3890.671,0,0,0,14,4.558,0,0,0
Yemen,Eastern Mediterranean,11935,40.015,1,0.003,0,2157,7.232,0,0,0
Sint Maarten,Americas,10863,25332.307,8,18.656,0,87,202.882,0,0,0
Micronesia (Federated States of),Western Pacific,10814,9401.598,757,658.129,0,31,26.951,0,0,0
Eritrea,Africa,10168,286.712,0,0,0,103,2.904,0,0,0
Saint Vincent and the Grenadines,Americas,9448,8516.315,0,0,0,116,104.561,0,0,0
Bonaire,Americas,9419,45034.664,18,86.063,0,31,148.219,0,0,0
Niger,Africa,9408,38.865,9,0.037,0,313,1.293,0,0,0
Antigua and Barbuda,Americas,9089,9281.214,0,0,0,146,149.088,0,0,0
Guinea-Bissau,Africa,8796,446.951,0,0,0,175,8.892,0,0,0
Comoros,Africa,8471,974.125,0,0,0,160,18.399,0,0,0
American Samoa,Western Pacific,8247,14941.029,0,0,0,34,61.598,0,0,0
Liberia,Africa,7961,157.404,0,0,0,294,5.813,0,0,0
Sierra Leone,Africa,7751,97.167,1,0.013,0,125,1.567,0,0,0
Chad,Africa,7581,46.153,10,0.061,0,193,1.175,0,0,0
British Virgin Islands,Americas,7305,24159.143,0,0,0,64,211.661,0,0,0
Saint Kitts and Nevis,Americas,6544,12302.602,1,1.88,0,46,86.479,0,0,0
Cook Islands,Western Pacific,6389,36375.541,0,0,0,1,5.693,0,0,0
Turks and Caicos Islands,Americas,6380,16478.124,0,0,0,36,92.98,0,0,0
Sao Tome and Principe,Africa,6230,2842.685,21,9.582,0,77,35.134,0,0,0
Palau,Western Pacific,5460,30179.085,0,0,0,6,33.164,0,0,0
Saint Barthélemy,Americas,5285,53464.846,22,222.559,0,5,50.582,0,0,0
Nauru,Western Pacific,4610,42551.228,0,0,0,1,9.23,0,0,0
Anguilla,Americas,3865,25763.232,7,46.66,0,12,79.989,0,0,0
Kiribati,Western Pacific,3430,2871.518,0,0,0,13,10.883,0,0,0
Saint Pierre and Miquelon,Americas,3188,55012.942,0,0,0,1,17.256,0,0,0
Falkland Islands (Malvinas),Americas,1930,55412.001,44,1263.279,0,0,0,0,0,0
Saint Helena,Africa,1521,25053.533,849,13984.517,0,0,0,0,0,0
Montserrat,Americas,1396,27925.585,15,300.06,0,8,160.032,0,0,0
Sint Eustatius,Americas,1196,38101.306,0,0,0,5,159.286,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Wallis and Futuna,Western Pacific,761,6766.85,0,0,0,7,62.244,0,0,0
Saba,Americas,730,37765.132,4,206.932,0,2,103.466,0,0,0
Niue,Western Pacific,80,4944.376,0,0,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,20,169.607,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,4,8000,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
